_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,COMMON_NAME,DBH_TRUNK,geometry
3310761,1,292029,790,QUEEN ST W,STRACHAN AVE,MASSEY ST,,0.0,697.0,TRINITY BELLWOODS PARK,10.0,"Ash, green",47.0,"{'type': 'Point', 'coordinates': (-79.41618733111581, 43.6495364521731)}"
3310762,2,NY21757,110,LOGANBERRY CRES,MISTFLOWER RD,MISTFLOWER RD,,0.0,10.0,,17.0,"Birch, white",25.0,"{'type': 'Point', 'coordinates': (-79.3545349538418, 43.8037189558964)}"
3310763,3,362493,31,FALLINGBROOK CRES,FALLINGBROOK DR,,,0.0,70.0,,20.0,"Maple, Manitoba",24.0,"{'type': 'Point', 'coordinates': (-79.2760802497644, 43.6776251576906)}"
3310764,4,391308,78,BIDEFORD AVE,AVENUE RD S 401 C W RAMP,SANDRINGHAM DR,,0.0,45.0,,6.0,"Elm, American 'Valley Forge'",4.0,"{'type': 'Point', 'coordinates': (-79.4252057780298, 43.7436916067803)}"
3310765,5,NY129248,33,ANEWEN DR,GRETNA AVE,WOODTHORPE RD,,0.0,40.0,,16.0,"Spruce, Colorado blue",25.0,"{'type': 'Point', 'coordinates': (-79.3153757933933, 43.733888921533)}"
3310766,6,ET17422,15,BURRARD RD,BRIGHAM CRT,CHILCOT AVE,,0.0,20.0,,1.0,"Maple, Norway 'Schwedler'",46.0,"{'type': 'Point', 'coordinates': (-79.5517852249759, 43.7132521970695)}"
3310767,7,NY114266,85,OLD COLONY RD,HARRISON RD,,,0.0,180.0,,15.0,"Mulberry, white",10.0,"{'type': 'Point', 'coordinates': (-79.37784831953951, 43.7582445715909)}"
3310768,8,228561,31,CLEARVIEW HTS,TRETHEWEY DR,GREENTREE CRT,,0.0,60.0,,5.0,"Elm, Siberian",57.0,"{'type': 'Point', 'coordinates': (-79.4792948383182, 43.6924692344483)}"
3310769,9,470262,2,SAN ANTONIOWAY,ELNATHAN CRES,,,0.0,120.0,,7.0,Kentucky coffee,5.0,"{'type': 'Point', 'coordinates': (-79.5695018286236, 43.7579181701515)}"
3310770,10,549197,148,WESTMINSTER AVE,SUNNYSIDE AVE,INDIAN RD,,0.0,10.0,,4.0,"Katsura, Japanese",4.0,"{'type': 'Point', 'coordinates': (-79.45258974840542, 43.646809759809)}"
3310771,11,536617,26,DONCLIFFE DR,FOREST GLEN CRES,FOREST GLEN CRES,,0.0,90.0,,15.0,"Elm, American",25.0,"{'type': 'Point', 'coordinates': (-79.4000834768246, 43.73559764660771)}"
3310772,12,TO66167,18,MUNRO PARK AVE,,QUEEN ST E,,0.0,10.0,,19.0,"Maple, Norway",130.0,"{'type': 'Point', 'coordinates': (-79.28312281638772, 43.6717940983563)}"
3310773,13,258809,37,JOSEPH ST,GRATTAN ST,CHURCH ST YORK,,0.0,10.0,,5.0,"Oak, white",4.0,"{'type': 'Point', 'coordinates': (-79.5178284396172, 43.705484262474)}"
3310774,14,542213,80,RABBIT LANE,SEDGEBROOK CRES,BEAVER BEND CRES,,0.0,20.0,,2.0,"Honey locust, 'Skyline'",8.0,"{'type': 'Point', 'coordinates': (-79.5697277859886, 43.6616682848291)}"
3310775,15,259477,538,BATHURST ST,COLLEGE ST TORONTO,ULSTER ST,,0.0,10.0,,11.0,Cherry,15.0,"{'type': 'Point', 'coordinates': (-79.4086318314847, 43.6578167708639)}"
3310776,16,97641,118,PLEASANT BLVD,LN 2 E YONGE S PLEASANT,AVOCA AVE,,0.0,20.0,,12.0,"Maple, Norway",25.0,"{'type': 'Point', 'coordinates': (-79.3893018520844, 43.6883787435373)}"
3310777,17,395672,235,GRANDRAVINE DR,OLLERTON RD,FUTURA DR,,0.0,5.0,,7.0,Hackberry,8.0,"{'type': 'Point', 'coordinates': (-79.5058922971026, 43.7485008346161)}"
3310778,18,536683,2975,YONGE ST,CHATSWORTH DR,CHERITAN AVE,,0.0,210.0,LAWRENCE PARK AND RAVINE,15.0,"Ash, green",24.0,"{'type': 'Point', 'coordinates': (-79.400487544538, 43.722746664264)}"
3310779,19,442295,28,KISKADEE DR,KITTIWAKE AVE,KITTIWAKE AVE,,0.0,10.0,,1.0,"Mulberry, white",16.0,"{'type': 'Point', 'coordinates': (-79.5968805552278, 43.7342135671476)}"
3310780,20,SC83877,9,CHAPELTOWN CRES,HUNTSMILL BLVD,HUNTSMILL BLVD,,0.0,10.0,,22.0,"Apple, Sargents",26.0,"{'type': 'Point', 'coordinates': (-79.3319713375323, 43.8106268773258)}"
3310781,21,NY107740,599,COLDSTREAM AVE,ENGLEMOUNT AVE,SHERMOUNT AVE,,0.0,20.0,,8.0,"Mountain ash, European",20.0,"{'type': 'Point', 'coordinates': (-79.4373323647695, 43.712975180742006)}"
3310782,22,609748,82,SPRUCE ST,NASMITH AVE,SUMACH ST,,0.0,10.0,,13.0,"Oak, white",4.0,"{'type': 'Point', 'coordinates': (-79.3626753680659, 43.664408490826204)}"
3310783,23,199311,124,MARILAKE DR,MANORGLEN CRES,SUMMERGLADE DR,,0.0,10.0,,23.0,Tulip tree,6.0,"{'type': 'Point', 'coordinates': (-79.2710871514678, 43.7812305314965)}"
3310784,24,50482,12,WHITFIELD AVE,ISLINGTON AVE,KNOX AVE NORTH YORK,,0.0,10.0,,7.0,"Honey locust, 'Shade master'",52.0,"{'type': 'Point', 'coordinates': (-79.5722863928079, 43.7592381597255)}"
3310785,25,435312,7,WISHFORD DR,JOHN TABOR TRL,JOHN TABOR TRL,,0.0,10.0,,25.0,Hackberry,4.0,"{'type': 'Point', 'coordinates': (-79.2038222861175, 43.8073491130473)}"
3310786,26,378538,105,MAITLAND ST,ALEXANDER PL,MUTUAL ST,,0.0,70.0,,13.0,"Pear, 'Chanticleer'",7.0,"{'type': 'Point', 'coordinates': (-79.3790627447708, 43.6647057558909)}"
3310787,27,290865,81,BEVDALE RD,SENLAC RD,LURGAN DR,,0.0,20.0,,18.0,"Oak, red",5.0,"{'type': 'Point', 'coordinates': (-79.4338931772356, 43.77453255105231)}"
3310788,28,380094,56,CLUNY DR,CRESCENT RD,ROXBOROUGH ST E,,0.0,30.0,,11.0,"Cedar, white",7.0,"{'type': 'Point', 'coordinates': (-79.3864692834068, 43.6781738193197)}"
3310789,29,NY40678,129,DALEMOUNT AVE,SHELBORNE AVE,MADOC DR,,0.0,10.0,,8.0,Tulip tree,25.0,"{'type': 'Point', 'coordinates': (-79.4343953600155, 43.7148630054084)}"
3310790,30,NY139916,17,RINGWOOD CRES,GEORGE HENRY BLVD,GEORGE HENRY BLVD,,0.0,50.0,,17.0,"Spruce, Colorado blue",20.0,"{'type': 'Point', 'coordinates': (-79.3500218471301, 43.7719556872452)}"
3310791,31,560561,88,QUEENS WHARF RD,,,,0.0,120.0,,10.0,"Planetree, London",7.0,"{'type': 'Point', 'coordinates': (-79.3995620922805, 43.6387637339772)}"
3310792,32,244729,828,DUNDAS ST W,LN W PALMERSTON S DUNDAS,EUCLID AVE TORONTO,,0.0,10.0,,11.0,Honey locust,9.0,"{'type': 'Point', 'coordinates': (-79.4093552753714, 43.6516904492866)}"
3310793,33,ET99323,66,TENTH ST,MORRISON ST ETOBICOKE,LN S LAKE SHORE E ELEVENTH,,0.0,10.0,,3.0,"Maple, Norway 'Crimson King'",34.0,"{'type': 'Point', 'coordinates': (-79.5078643384629, 43.5978483612791)}"
3310794,34,262473,61,YORKVIEW DR ETOBICOKE,UNO DR,CHARTWELL RD,,0.0,10.0,,3.0,Ginkgo,4.0,"{'type': 'Point', 'coordinates': (-79.5099558955117, 43.6299814906493)}"
3310795,35,65386,74,RYKERT CRES,RICHLEA CRCL,THURSFIELD CRES,,0.0,10.0,,15.0,"Maple, red",29.0,"{'type': 'Point', 'coordinates': (-79.3587743995269, 43.7173469217039)}"
3310796,36,569480,17,HART AVE,BRENDA CRES,SUMMER DR,,0.0,10.0,,20.0,"Falsecypress, Japanese",20.0,"{'type': 'Point', 'coordinates': (-79.2593218633868, 43.7200005021239)}"
3310797,37,377629,75,CHESTER LE BLVD,75 CHESTER LE BLVD,106 CHESTER LE BLVD,,0.0,60.0,,22.0,Zelkova,12.0,"{'type': 'Point', 'coordinates': (-79.329843679834, 43.7962957324859)}"
3310798,38,395320,17,NORTH HILLS TER,MOCCASIN TRL,MOCCASIN TRL,,0.0,50.0,,16.0,Elm,40.0,"{'type': 'Point', 'coordinates': (-79.3384791801388, 43.7301841810056)}"
3310799,39,NY84250,98,POYNTZ AVE,BOTHAM RD,BEAMAN RD,,0.0,10.0,,18.0,"Maple, Norway",43.0,"{'type': 'Point', 'coordinates': (-79.4152638879444, 43.7589777636932)}"
3310800,40,16864,21,KOOS RD,AVERY AVE,RADWAY AVE,,0.0,20.0,,2.0,Honey locust,8.0,"{'type': 'Point', 'coordinates': (-79.5649721525678, 43.6331388006356)}"
3310801,41,586256,5,KODIAK CRES,SHEPPARD AVE W,WHITEHORSE RD,,0.0,100.0,,6.0,"Buckeye, yellow",8.0,"{'type': 'Point', 'coordinates': (-79.4655375260912, 43.7526866700941)}"
3310802,42,NY74903,6,CHARLTON BLVD,TALBOT RD,GRANTBROOK ST,,0.0,10.0,,18.0,"Maple, Norway",36.0,"{'type': 'Point', 'coordinates': (-79.4239133862924, 43.78328779108201)}"
3310803,43,495931,586,NORTHCLIFFE BLVD,AMHERST AVE,ALLENVALE AVE,,0.0,20.0,,12.0,"Maple, Manitoba",9.0,"{'type': 'Point', 'coordinates': (-79.4464216981582, 43.6919536704695)}"
3310804,44,143423,55,PRIMULA CRES,SOMBRERO CRT,HUSBAND DR,,0.0,10.0,,7.0,"Oak, swamp white",6.0,"{'type': 'Point', 'coordinates': (-79.5757375273133, 43.7619106726272)}"
3310805,45,ET113448,119,WESTHUMBER BLVD,MOON VALLEY DR,MARTIN GROVE RD,,0.0,10.0,,1.0,Black locust,12.0,"{'type': 'Point', 'coordinates': (-79.5855444740674, 43.72602704309521)}"
3310806,46,543944,13,BRIDLETOWNE CRCL,FINCH AVE E,PINEMEADOW BLVD,,0.0,70.0,,22.0,Tulip tree,8.0,"{'type': 'Point', 'coordinates': (-79.3190326311135, 43.7942469315193)}"
3310807,47,138719,52,TORRANCE RD,GRACE ST SCARBOROUGH,ADLER ST,,0.0,20.0,,21.0,"Honey locust, 'Skyline'",10.0,"{'type': 'Point', 'coordinates': (-79.23709051471421, 43.7428001588964)}"
3310808,48,410726,1,PARKCREST DR,HILL CRES,ANNIS RD,,0.0,50.0,,20.0,"Maple, Norway",2.0,"{'type': 'Point', 'coordinates': (-79.2153660990838, 43.7331296117775)}"
3310809,49,603573,12,REDCASTLE CRES,BRIDLEWOOD BLVD,BRIDLEWOOD BLVD,,0.0,10.0,,22.0,"Mountain ash, oak leaf",6.0,"{'type': 'Point', 'coordinates': (-79.313743960998, 43.7827502160707)}"
3310810,50,502898,2248,DUFFERIN ST,ROWAN AVE,KEYWEST AVE,,0.0,10.0,,9.0,"Cedar, white",20.0,"{'type': 'Point', 'coordinates': (-79.4492140695791, 43.6921376084812)}"
3310811,51,552126,209,FUNDY BAY BLVD,PALE MOON CRES,LUCANIA PL,,0.0,30.0,,22.0,Tulip tree,8.0,"{'type': 'Point', 'coordinates': (-79.3210677889654, 43.8118066365881)}"
3310812,52,512762,29,ATLAS AVE,GRIMTHORPE RD,WATFORD AVE,,0.0,20.0,,12.0,"Oak, English 'pyramidal'",3.0,"{'type': 'Point', 'coordinates': (-79.4311325007295, 43.68201075237711)}"
3310813,53,NY43779,22,DANVILLE DR,DIDRICKSON DR,SENECA ST,,0.0,10.0,,15.0,Juniper,10.0,"{'type': 'Point', 'coordinates': (-79.3957930283471, 43.7502175574651)}"
3310814,54,476934,2842,KEELE ST,TILBURY DR,WANDLE AVE,,0.0,30.0,,6.0,Ginkgo,8.0,"{'type': 'Point', 'coordinates': (-79.4832404004807, 43.7310019351549)}"
